0,0,0
5,0,0
10,0,0
15,0,0
20,0,0
25,0,0
30,0,0
35,0.00036337,0.00041975
40,0.013019,0.006127
44.999,0.082447,0.024212
49.995,0.28593,0.060592
54.975,0.72564,0.11939
59.91,1.5171,0.20255
64.747,2.7742,0.30961
69.402,4.5915,0.43778
73.764,7.026,0.5822
77.713,10.084,0.73643
81.139,13.719,0.89305
83.964,17.839,1.0444
86.162,22.326,1.1834
87.758,27.061,1.3041
88.827,31.943,1.4024
89.471,36.9,1.4763
89.809,41.888,1.5263
89.951,46.886,1.5552
89.991,51.886,1.5679
89.996,56.886,1.5708
89.996,61.886,1.5708
89.996,66.886,1.5708
89.996,71.886,1.5708
89.996,76.886,1.5708
89.996,81.886,1.5708
89.996,86.886,1.5708
